,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,Genre Ids,Genre Names,Company Ids,Company Names
669,Face/Off,23387530.0,112276146.0,20.8%,2621.0,8923.0,1997-06-27,3.0,1997.0,Face/Off (1997),Summer,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",754,tt0119094,en,Face/Off,11.467391,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Permut Presentations', 'id': 455}, {'name': 'WCG Entertainment Productions', 'id': 456}, {'name': 'Douglas/Reuther Productions', 'id': 458}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Krane Entertainment', 'id': 25358}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-06-27 00:00:00,245676146,138.0,Face/Off,6.8,1612.0,28,Action,4,Paramount Pictures
670,The Polar Express,23323463.0,162775358.0,14.3%,3650.0,6389.0,2004-11-10,4.0,2004.0,The Polar Express (2004),Fall,165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",5255,tt0338348,en,The Polar Express,14.27536,"[{'name': 'Golden Mean', 'id': 1867}, {'name': 'Playtone', 'id': 4171}, {'name': 'ImageMovers', 'id': 11395}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-11-10 00:00:00,305875730,100.0,The Polar Express,6.4,1524.0,12,Adventure,1867,Golden Mean
671,Mortal Kombat,23283887.0,70454098.0,33%,2421.0,9617.0,1995-08-18,3.0,1995.0,Mortal Kombat (1995),Summer,18000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",9312,tt0113855,en,Mortal Kombat,10.870138,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Threshold Entertainment', 'id': 4174}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-08-18 00:00:00,122195920,101.0,Mortal Kombat,5.4,452.0,28,Action,12,New Line Cinema
672,Pineapple Express,23245025.0,87341380.0,26.6%,3072.0,7566.0,2008-08-06,3.0,2008.0,Pineapple Express (2008),Summer,27000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",10189,tt0910936,en,Pineapple Express,8.461369,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Apatow Productions', 'id': 10105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-08-06 00:00:00,101624843,111.0,Pineapple Express,6.6,1169.0,28,Action,5,Columbia Pictures
673,Alvin and the Chipmunks: Chipwrecked,23244744.0,133110742.0,17.5%,3723.0,6243.0,2011-12-16,1.0,2011.0,Alvin and the Chipmunks: Chipwrecked (2011),Winter,75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 16, 'name': 'Animation'}]",55301,tt1615918,en,Alvin and the Chipmunks: Chipwrecked,8.066393,"[{'name': 'Fox 2000 Pictures', 'id': 711}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-12-14 00:00:00,342695435,87.0,Alvin and the Chipmunks: Chipwrecked,5.4,499.0,35,Comedy,711,Fox 2000 Pictures
674,Eragon,23239907.0,75030163.0,31%,3020.0,7695.0,2006-12-15,1.0,2006.0,Eragon (2006),Winter,100000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",2486,tt0449010,en,Eragon,9.851133,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Major Studio Partners', 'id': 445}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Mid Atlantic Films', 'id': 2735}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'HU', 'name': 'Hungary'}]",2006-12-14 00:00:00,249288105,104.0,Eragon,4.9,990.0,14,Fantasy,289,Ingenious Film Partners
675,This Is It,23234394.0,72091016.0,32.2%,3481.0,6674.0,2009-10-28,4.0,2009.0,This Is It (2009),Fall,60000000,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",13576,tt1477715,en,Michael Jackson's This Is It,7.015456,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-10-28 00:00:00,0,111.0,This Is It,6.7,253.0,10402,Music,5,Columbia Pictures
676,Hellboy,23172440.0,59623958.0,38.9%,3028.0,7652.0,2004-04-02,2.0,2004.0,Hellboy (2004),Spring,66000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1487,tt0167190,en,Hellboy,13.206854,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Lawrence Gordon Productions', 'id': 840}, {'name': 'Starlite Films', 'id': 21497}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-02 00:00:00,99318987,122.0,Hellboy,6.5,2278.0,14,Fantasy,5,Columbia Pictures
677,Double Jeopardy,23162542.0,116741558.0,19.8%,2547.0,9094.0,1999-09-24,4.0,1999.0,Double Jeopardy (1999),Fall,70000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",10398,tt0150377,en,Double Jeopardy,10.876463,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-09-24 00:00:00,177841558,105.0,Double Jeopardy,6.2,282.0,80,Crime,4,Paramount Pictures
678,The Mask,23117068.0,119938730.0,19.3%,2360.0,9795.0,1994-07-29,3.0,1994.0,The Mask (1994),Summer,23000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",854,tt0110475,en,The Mask,14.13488,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Dark Horse Entertainment', 'id': 552}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-07-29 00:00:00,351583407,101.0,The Mask,6.6,2550.0,10749,Romance,12,New Line Cinema
679,Star Trek: Generations,23116394.0,75671125.0,30.6%,2659.0,8693.0,1994-11-18,4.0,1994.0,Star Trek: Generations (1994),Fall,38000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",193,tt0111280,en,Star Trek: Generations,8.105708,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-11-17 00:00:00,120000000,118.0,Star Trek: Generations,6.4,461.0,878,Science Fiction,4,Paramount Pictures
680,Eat Pray Love,23104523.0,80574010.0,28.7%,3082.0,7496.0,2010-08-13,3.0,2010.0,Eat Pray Love (2010),Summer,60000000,"[{'id': 18, 'name': 'Drama'}]",38167,tt0879870,en,Eat Pray Love,15.904834,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Red Om Films', 'id': 2455}, {'name': 'Plan B Entertainment', 'id': 45778}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-08-12 00:00:00,204594016,133.0,Eat Pray Love,5.8,655.0,18,Drama,5,Columbia Pictures
681,The League of Extraordinary Gentlemen,23075892.0,66465204.0,34.7%,3002.0,7686.0,2003-07-11,3.0,2003.0,The League of Extraordinary Gentlemen (2003),Summer,78000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",8698,tt0311429,en,The League of Extraordinary Gentlemen,10.488765,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'JD Productions', 'id': 475}, {'name': 'International Production Company', 'id': 1507}, {'name': 'Angry Films', 'id': 12087}, {'name': 'Mediastream Dritte Film GmbH & Co. Beteiligungs KG', 'id': 19352}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-07-11 00:00:00,179265204,110.0,The League of Extraordinary Gentlemen,5.7,1181.0,14,Fantasy,306,Twentieth Century Fox Film Corporation
682,Resident Evil: Apocalypse,23036273.0,51201453.0,45%,3284.0,7014.0,2004-09-10,4.0,2004.0,Resident Evil: Apocalypse (2004),Fall,45000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1577,tt0318627,en,Resident Evil: Apocalypse,7.850797,"[{'name': 'Impact Pictures', 'id': 248}, {'name': 'Constantin Film Ltd.', 'id': 53530}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2004-09-10 00:00:00,129394835,94.0,Resident Evil: Apocalypse,6.1,1286.0,27,Horror,248,Impact Pictures
683,27 Dresses,23007725.0,76808654.0,30%,3057.0,7526.0,2008-01-18,1.0,2008.0,27 Dresses (2008),Winter,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6557,tt0988595,en,27 Dresses,10.342202,"[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Dune Entertainment III', 'id': 6332}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-01-10 00:00:00,160259319,111.0,27 Dresses,6.1,1013.0,35,Comedy,158,Spyglass Entertainment
684,The Haunting in Connecticut,23004765.0,55389516.0,41.5%,2732.0,8420.0,2009-03-27,2.0,2009.0,The Haunting in Connecticut (2009),Spring,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",18781,tt0492044,en,The Haunting in Connecticut,10.80374,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Gold Circle Films', 'id': 12026}, {'name': 'Integrated Films', 'id': 79894}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-03-27 00:00:00,77527732,102.0,The Haunting in Connecticut,6.0,317.0,53,Thriller,1632,Lionsgate
685,The Princess Diaries 2: Royal Engagement,22956453.0,95170481.0,24.1%,3472.0,6611.0,2004-08-11,3.0,2004.0,The Princess Diaries 2: Royal Engagement (2004),Summer,40000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",11130,tt0368933,en,The Princess Diaries 2: Royal Engagement,8.248895,"[{'name': 'Walt Disney Pictures', 'id': 2}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-08-06 00:00:00,95149435,113.0,The Princess Diaries 2: Royal Engagement,6.0,726.0,35,Comedy,2,Walt Disney Pictures
686,The Game Plan,22950971.0,90648202.0,25.3%,3103.0,7396.0,2007-09-28,4.0,2007.0,The Game Plan (2007),Fall,22000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",13680,tt0492956,en,The Game Plan,9.627676,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Mayhem Pictures', 'id': 22881}, {'name': 'Monkey Dance Productions', 'id': 80510}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-09-28 00:00:00,147880543,110.0,The Game Plan,6.0,434.0,35,Comedy,2,Walt Disney Pictures
687,Vantage Point,22874936.0,72266306.0,31.6%,3149.0,7264.0,2008-02-22,1.0,2008.0,Vantage Point (2008),Winter,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",7461,tt0443274,en,Vantage Point,7.001645,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Original Film', 'id': 333}, {'name': 'Kanzaman', 'id': 4169}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Art In Motion', 'id': 31604}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-02-01 00:00:00,151161491,90.0,Vantage Point,6.3,731.0,18,Drama,5,Columbia Pictures
